person_name,name,patronymic,family_name,person_id,section_id,income_year,position,department
Марина Александровна Говорушко,Марина,Александровна,Говорушко,40354,672300,2019,Заместитель директора Департамента,NULL
Н И Голубева,Н,И,Голубева,175899,672303,2019,Заместитель директора Департамента,NULL
Елена Михайловна Горожанкина,Елена,Михайловна,Горожанкина,360086,672305,2019,Заместитель директора Департамента,NULL
В В Гришкин,В,В,Гришкин,175900,672308,2019,Заместитель директора Департамента,NULL
Е М Грудинина,Е,М,Грудинина,175901,672311,2019,Заместитель директора Департамента,NULL
Н М Деликова,Н,М,Деликова,176388,672314,2019,Заместитель директора Департамента,NULL
Тимур Вячеславович Дьячков,Тимур,Вячеславович,Дьячков,7039,672318,2019,Директор Департамента,
Г В Егоров,Г,В,Егоров,176619,672321,2019,Заместитель директора Департамента,NULL
С В Есин,С,В,Есин,176769,672324,2019,Заместитель директора Департамента,NULL
Б В Железов,Б,В,Железов,176864,672328,2019,Заместитель директора Департамента,NULL
Д В Журавлев,Д,В,Журавлев,176788,672330,2019,Заместитель директора Департамента,NULL
В А Заборский,В,А,Заборский,362318,672334,2019,Заместитель директора Департамента,NULL
А В Зленко,А,В,Зленко,177305,672337,2019,Заместитель директора Департамента,NULL
В В Иванов,В,В,Иванов,177346,672340,2019,Директор Департамента,NULL
Ю Е Казаков,Ю,Е,Казаков,364795,672341,2019,Заместитель директора Департамента,NULL
В В Калинин,В,В,Калинин,362959,672344,2019,Заместитель директора Департамента,NULL
Марина Сергеевна Калинченко,Марина,Сергеевна,Калинченко,145873,672346,2019,Заместитель директор Департамента,NULL
И В Каракчиева,И,В,Каракчиева,179517,672347,2019,Заместитель директора Департамента,NULL
С Б Карунин,С,Б,Карунин,365581,672349,2019,Заместитель директора Департамента,NULL
Н В Каширских,Н,В,Каширских,179518,672351,2019,Заместитель директора Департамента,NULL
М С Козлов,М,С,Козлов,178487,672353,2019,Заместитель директора Департамента,NULL
Антон Николаевич Кудинов,Антон,Николаевич,Кудинов,399097,672354,2019,Заместитель директора Департамента,
Дмитрий Викторович Куликов,Дмитрий,Викторович,Куликов,178262,672356,2019,Врио директора Департамента,NULL
Е А Логинова,Е,А,Логинова,180131,672358,2019,Заместитель директора Департамента,NULL
О В Малева,О,В,Малева,181036,672360,2019,Заместитель директора Департамента,NULL
Наталья Александровна Маратканова,Наталья,Александровна,Маратканова,130349,672361,2019,Заместитель директора Департамента,NULL
Вадим Викторович Медведев,Вадим,Викторович,Медведев,399098,672362,2019,Директор Департамента,
Алексей Владимирович Мельников,Алексей,Владимирович,Мельников,399099,672363,2019,Заместитель директора Департамента,
К З Минхазетдинова,К,З,Минхазетдинова,368600,672364,2019,Заместитель директора Департамента,NULL
Денис Вячеславович Мирошников,Денис,Вячеславович,Мирошников,128990,672365,2019,Заместитель директора Департамента,NULL
Г А Миусова,Г,А,Миусова,181037,672366,2019,Заместитель директора Департамента,NULL
Ф В Мицкевич,Ф,В,Мицкевич,181038,672367,2019,Заместитель директора Департамента,NULL
Т М Омельчук,Т,М,Омельчук,369791,672368,2019,Заместитель директора Департамента,NULL
С И Пахомов,С,И,Пахомов,386073,672369,2019,Директор Департамента,NULL
